#	Date	Country, Other	Total Cases	New Cases	Total Deaths	New Deaths	Total Recovered	New Recovered	Active Cases	Serious, Critical	Tot Cases/1M Pop	Deaths/1M Pop	Total Tests	Tests/1M Pop	Population	Continent
111	27:11:2021	Cameroon	106,794		1,791 		102,716		2,287	152	3,887	65	1,751,774	63,762	27,473,627	Africa
112	27:11:2021	Rwanda	100,325	+14	1,342 	+1	45,521		53,462	1	7,485	100	3,439,172	256,597	13,403,014	Africa
113	27:11:2021	China	98,608	+25	4,636 		93,163	+76	809	7	69	3	160,000,000	111,163	1,439,323,776 	Asia
114	27:11:2021	Maldives	91,350	+76	248 		89,295	+105	1,807	23	164,915	448	1,739,647	3,140,594	553,923	Asia
115	27:11:2021	Jamaica	91,122	+96	2,385 	+9	62,347	+90	26,390	11	30,584	801	669,590	224,743	2,979,354	North America
116	27:11:2021	Luxembourg	88,108		866 		83,258		3,984	10	137,606	1,353	3,675,228	5,739,925	640,292	Europe
117	27:11:2021	Senegal	73,981	+6	1,885 		72,084	+2	12	2	4,261	109	870,765	50,150	17,363,327	Africa
118	27:11:2021	Laos	70,323	+1,491	154 	+7	7,339		62,830		9,472	21	769,861	103,699	7,423,978	Asia
119	27:11:2021	Trinidad and Tobago	69,680	+672	2,090 	+29	57,248	+306	10,342	22	49,564	1,487	442,819	314,980	1,405,866	North America
120	27:11:2021	Angola	65,139	+9	1,733 		63,192	+9	214	3	1,899	51	1,179,270	34,380	34,300,597	Africa
121	27:11:2021	Malawi	61,889	+3	2,304 		58,763		822	67	3,122	116	440,184	22,205	19,823,915	Africa
122	27:11:2021	Ivory Coast	61,704	+18	704 		60,684	+20	316		2,261	26	1,131,105	41,439	27,295,402	Africa
123	27:11:2021	Réunion	59,048		381 		56,040		2,627	18	65,297	421	1,347,378	1,489,966	904,301	Africa
124	27:11:2021	DRC	58,115		1,104 		50,930		6,081		622	12	306,299	3,280	93,381,747	Africa
125	27:11:2021	Guadeloupe	55,147		746 		2,250		52,151	23	137,792	1,864	551,264	1,377,402	400,220	North America
126	27:11:2021	Fiji	52,494		696 		50,991		807		57,967	769	459,815	507,755	905,584	Australia/Oceania
127	27:11:2021	Suriname	50,710	+54	1,162 	+4	29,566	+3	19,982	10	85,367	1,956	158,264	266,426	594,025	South America
128	27:11:2021	Syria	47,863	+99	2,733 	+4	28,886	+92	16,244		2,645	151	103,566	5,723	18,097,600	Asia
129	27:11:2021	Eswatini	46,528	+4	1,248 		45,238		42	10	39,529	1,060	386,939	328,734	1,177,058	Africa
130	27:11:2021	French Guiana	45,864		326 		11,254		34,284	11	148,163	1,053	447,549	1,445,805	309,550	South America
131	27:11:2021	French Polynesia	45,609		636 		N/A	N/A	N/A	7	161,053	2,246			283,193	Australia/Oceania
132	27:11:2021	Martinique	44,318		700 		104		43,514	1	118,227	1,867	416,247	1,110,421	374,855	North America
133	27:11:2021	Madagascar	44,072		967 		41,322		1,783	3	1,536	34	249,510	8,697	28,690,413	Africa
134	27:11:2021	Sudan	42,056		3,114 		32,905		6,037		929	69	238,579	5,268	45,286,992	Africa
135	27:11:2021	Malta	39,162	+95	468 		37,250	+47	1,444	1	88,362	1,056	1,211,456	2,733,442	443,198	Europe
136	27:11:2021	Mauritania	39,115	+80	831 	+2	37,326	+64	958	14	8,113	172	498,873	103,474	4,821,224	Africa
137	27:11:2021	Cabo Verde	38,358	+5	349 		37,937	+6	72	23	67,953	618	211,166	374,089	564,480	Africa
138	27:11:2021	Guyana	37,707	+44	986 	+1	35,241	+19	1,480	16	47,616	1,245	388,530	490,634	791,893	South America
139	27:11:2021	Gabon	37,298	+75	279 	+3	32,019	+383	5,000	8	16,220	121	1,396,270	607,210	2,299,483	Africa
140	27:11:2021	Papua New Guinea	34,946	+40	542 		33,501		903	7	3,805	59	247,028	26,894	9,185,155	Australia/Oceania
141	27:11:2021	Guinea	30,763	+6	387 		29,725	+5	651	46	2,257	28	569,542	41,777	13,632,802	Africa
142	27:11:2021	Belize	30,165		570 		28,421		1,174	10	73,975	1,398	345,261	846,703	407,771	North America
143	27:11:2021	Tanzania	26,261		730 		N/A	N/A	N/A	7	423	12			62,122,018	Africa
144	27:11:2021	Togo	26,241	+5	243 		25,900	+5	98		3,069	28	576,999	67,476	8,551,196	Africa
145	27:11:2021	Haiti	25,027		723 		20,973		3,331		2,158	62	132,422	11,418	11,597,988	North America
146	27:11:2021	Barbados	24,923	+154	223 		20,797	+628	3,903		86,577	775	433,518	1,505,951	287,870	North America
147	27:11:2021	Benin	24,850		161 		24,546		143	5	1,977	13	604,310	48,080	12,568,962	Africa
148	27:11:2021	Seychelles	23,197		125 		22,590		482		233,831	1,260			99,204	Africa
149	27:11:2021	Somalia	23,016		1,327 		12,046		9,643		1,394	80	262,138	15,872	16,515,547	Africa
150	27:11:2021	Bahamas	22,734	+14	671 		21,604	+8	459	4	57,045	1,684	167,558	420,441	398,529	North America
151	27:11:2021	Lesotho	21,755		662 		13,657		7,436		10,043	306	256,932	118,613	2,166,139	Africa
152	27:11:2021	Mauritius	21,191	+151	455 		19,305	+149	1,431		16,624	357	358,675	281,372	1,274,738	Africa
153	27:11:2021	Mayotte	20,938		185 		2,964		17,789		74,233	656	176,919	627,243	282,058	Africa
154	27:11:2021	Burundi	20,386	+26	38 		773		19,575		1,646	3	345,742	27,910	12,387,708	Africa
155	27:11:2021	Timor-Leste	19,822	+1	122 		19,696		4		14,643	90	169,501	125,211	1,353,728	Asia
156	27:11:2021	Congo	18,837		349 		12,421		6,067		3,300	61	188,207	32,968	5,708,791	Africa
157	27:11:2021	Iceland	17,446		35 		15,665		1,746	3	50,662	102	1,236,987	3,592,144	344,359	Europe
158	27:11:2021	Curaçao	17,390	+6	178 		17,102	+16	110	3	105,370	1,079	333,270	2,019,365	165,037	North America
159	27:11:2021	Channel Islands	17,326		103 		15,135		2,088		98,378	585	1,067,673	6,062,294	176,117	Europe
160	27:11:2021	Mali	17,300	+81	603 	+1	15,114	+29	1,583		821	29	486,126	23,073	21,069,384	Africa
161	27:11:2021	Nicaragua	17,152		209 		4,225		12,718		2,547	31			6,735,385	North America
162	27:11:2021	Tajikistan	17,095		124 		16,966		5		1,738	13			9,838,510	Asia
163	27:11:2021	Andorra	16,712		131 		15,770		811	4	215,809	1,692	193,595	2,499,968	77,439	Europe
164	27:11:2021	Taiwan	16,578	+12	848 		15,594	+4	136		694	36	8,307,723	347,932	23,877,446	Asia
165	27:11:2021	Aruba	16,312	+21	174 		15,955	+22	183	11	151,875	1,620	177,885	1,656,223	107,404	North America
166	27:11:2021	Burkina Faso	15,711	+197	281 	+16	15,211	+202	219		724	13	230,176	10,603	21,707,789	Africa
167	27:11:2021	Brunei 	14,992	+74	97 		14,367	+25	528		33,814	219	607,880	1,371,041	443,371	Asia
168	27:11:2021	Equatorial Guinea	13,579		173 		13,323		83	1	9,252	118	242,340	165,122	1,467,638	Africa
169	27:11:2021	Djibouti	13,504		186 		13,291		27		13,394	184	245,878	243,879	1,008,198	Africa
170	27:11:2021	Saint Lucia	12,954		280 		12,553		121	10	70,094	1,515	92,984	503,138	184,808	North America
171	27:11:2021	South Sudan	12,717		133 		12,395		189	2	1,118	12	259,491	22,806	11,378,273	Africa
172	27:11:2021	Hong Kong	12,425	+3	213 		12,130	+2	82		1,639	28	28,195,188	3,718,435	7,582,542	Asia
173	27:11:2021	New Caledonia	12,099	+32	276 		11,478	+85	345	15	41,813	954	42,756	147,762	289,358	Australia/Oceania
174	27:11:2021	CAR	11,708		101 		6,859		4,748	2	2,366	20	60,228	12,173	4,947,777	Africa
175	27:11:2021	New Zealand	11,114	+148	42 		5,567	+18	5,505	64	2,222	8	4,812,340	962,064	5,002,100 	Australia/Oceania
176	27:11:2021	Isle of Man	11,085	+92	66 		10,363		656	1	129,398	770	133,676	1,560,432	85,666	Europe
177	27:11:2021	Gambia	9,989		342 		9,638		9	3	3,977	136	121,854	48,510	2,511,954	Africa
178	27:11:2021	Yemen	9,981	+2	1,945 	+2	6,829	+3	1,207	23	325	63	265,253	8,627	30,748,591	Asia
179	27:11:2021	Eritrea	7,305	+20	60 		7,076	+28	169		2,021	17	23,693	6,553	3,615,427	Africa
